"period","dataset","column"
"2024-02","activity_performance_monthly","MEASURE_ID"
"2024-02","activity_performance_monthly","MEASURE_NAME"
"2024-02","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2024-02","activity_performance_monthly","ORG_CODE1"
"2024-02","activity_performance_monthly","ORG_CODE2"
"2024-02","activity_performance_monthly","ORG_NAME1"
"2024-02","activity_performance_monthly","ORG_NAME2"
"2024-02","activity_performance_monthly","REPORTING_PERIOD_END"
"2024-02","activity_performance_monthly","REPORTING_PERIOD_START"
"2024-01","activity_performance_monthly","GROUP_TYPE"
"2024-01","activity_performance_monthly","MEASURE_ID"
"2024-01","activity_performance_monthly","MEASURE_NAME"
"2024-01","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2024-01","activity_performance_monthly","ORG_CODE1"
"2024-01","activity_performance_monthly","ORG_CODE2"
"2024-01","activity_performance_monthly","ORG_NAME1"
"2024-01","activity_performance_monthly","ORG_NAME2"
"2024-01","activity_performance_monthly","REPORTING_PERIOD_END"
"2024-01","activity_performance_monthly","REPORTING_PERIOD_START"
"2023-12","activity_performance_monthly","GROUP_TYPE"
"2023-12","activity_performance_monthly","MEASURE_ID"
"2023-12","activity_performance_monthly","MEASURE_NAME"
"2023-12","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2023-12","activity_performance_monthly","ORG_CODE1"
"2023-12","activity_performance_monthly","ORG_CODE2"
"2023-12","activity_performance_monthly","ORG_NAME1"
"2023-12","activity_performance_monthly","ORG_NAME2"
"2023-12","activity_performance_monthly","REPORTING_PERIOD_END"
"2023-12","activity_performance_monthly","REPORTING_PERIOD_START"
"2023-11","activity_performance_monthly","GROUP_TYPE"
"2023-11","activity_performance_monthly","MEASURE_ID"
"2023-11","activity_performance_monthly","MEASURE_NAME"
"2023-11","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2023-11","activity_performance_monthly","ORG_CODE1"
"2023-11","activity_performance_monthly","ORG_CODE2"
"2023-11","activity_performance_monthly","ORG_NAME1"
"2023-11","activity_performance_monthly","ORG_NAME2"
"2023-11","activity_performance_monthly","REPORTING_PERIOD_END"
"2023-11","activity_performance_monthly","REPORTING_PERIOD_START"
"2023-10","activity_performance_monthly","GROUP_TYPE"
"2023-10","activity_performance_monthly","MEASURE_ID"
"2023-10","activity_performance_monthly","MEASURE_NAME"
"2023-10","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2023-10","activity_performance_monthly","ORG_CODE1"
"2023-10","activity_performance_monthly","ORG_CODE2"
"2023-10","activity_performance_monthly","ORG_NAME1"
"2023-10","activity_performance_monthly","ORG_NAME2"
"2023-10","activity_performance_monthly","REPORTING_PERIOD_END"
"2023-10","activity_performance_monthly","REPORTING_PERIOD_START"
"2023-09","activity_performance_monthly","GROUP_TYPE"
"2023-09","activity_performance_monthly","MEASURE_ID"
"2023-09","activity_performance_monthly","MEASURE_NAME"
"2023-09","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2023-09","activity_performance_monthly","ORG_CODE1"
"2023-09","activity_performance_monthly","ORG_CODE2"
"2023-09","activity_performance_monthly","ORG_NAME1"
"2023-09","activity_performance_monthly","ORG_NAME2"
"2023-09","activity_performance_monthly","REPORTING_PERIOD_END"
"2023-09","activity_performance_monthly","REPORTING_PERIOD_START"
"2023-08","activity_performance_monthly","GROUP_TYPE"
"2023-08","activity_performance_monthly","MEASURE_ID"
"2023-08","activity_performance_monthly","MEASURE_NAME"
"2023-08","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2023-08","activity_performance_monthly","ORG_CODE1"
"2023-08","activity_performance_monthly","ORG_CODE2"
"2023-08","activity_performance_monthly","ORG_NAME1"
"2023-08","activity_performance_monthly","ORG_NAME2"
"2023-08","activity_performance_monthly","REPORTING_PERIOD_END"
"2023-08","activity_performance_monthly","REPORTING_PERIOD_START"
"2023-07","activity_performance_monthly","GROUP_TYPE"
"2023-07","activity_performance_monthly","MEASURE_ID"
"2023-07","activity_performance_monthly","MEASURE_NAME"
"2023-07","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2023-07","activity_performance_monthly","ORG_CODE1"
"2023-07","activity_performance_monthly","ORG_CODE2"
"2023-07","activity_performance_monthly","ORG_NAME1"
"2023-07","activity_performance_monthly","ORG_NAME2"
"2023-07","activity_performance_monthly","REPORTING_PERIOD_END"
"2023-07","activity_performance_monthly","REPORTING_PERIOD_START"
"2023-06","activity_performance_monthly","GROUP_TYPE"
"2023-06","activity_performance_monthly","MEASURE_ID"
"2023-06","activity_performance_monthly","MEASURE_NAME"
"2023-06","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2023-06","activity_performance_monthly","ORG_CODE1"
"2023-06","activity_performance_monthly","ORG_CODE2"
"2023-06","activity_performance_monthly","ORG_NAME1"
"2023-06","activity_performance_monthly","ORG_NAME2"
"2023-06","activity_performance_monthly","REPORTING_PERIOD_END"
"2023-06","activity_performance_monthly","REPORTING_PERIOD_START"
"2023-05","activity_performance_monthly","GROUP_TYPE"
"2023-05","activity_performance_monthly","MEASURE_ID"
"2023-05","activity_performance_monthly","MEASURE_NAME"
"2023-05","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2023-05","activity_performance_monthly","ORG_CODE1"
"2023-05","activity_performance_monthly","ORG_CODE2"
"2023-05","activity_performance_monthly","ORG_NAME1"
"2023-05","activity_performance_monthly","ORG_NAME2"
"2023-05","activity_performance_monthly","REPORTING_PERIOD_END"
"2023-05","activity_performance_monthly","REPORTING_PERIOD_START"
"2023-04","activity_performance_monthly","GROUP_TYPE"
"2023-04","activity_performance_monthly","MEASURE_ID"
"2023-04","activity_performance_monthly","MEASURE_NAME"
"2023-04","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2023-04","activity_performance_monthly","ORG_CODE1"
"2023-04","activity_performance_monthly","ORG_CODE2"
"2023-04","activity_performance_monthly","ORG_NAME1"
"2023-04","activity_performance_monthly","ORG_NAME2"
"2023-04","activity_performance_monthly","REPORTING_PERIOD_END"
"2023-04","activity_performance_monthly","REPORTING_PERIOD_START"
"2023-03","activity_performance_monthly","GROUP_TYPE"
"2023-03","activity_performance_monthly","MEASURE_ID"
"2023-03","activity_performance_monthly","MEASURE_NAME"
"2023-03","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2023-03","activity_performance_monthly","ORG_CODE1"
"2023-03","activity_performance_monthly","ORG_CODE2"
"2023-03","activity_performance_monthly","ORG_NAME1"
"2023-03","activity_performance_monthly","ORG_NAME2"
"2023-03","activity_performance_monthly","REPORTING_PERIOD_END"
"2023-03","activity_performance_monthly","REPORTING_PERIOD_START"
"2023-02","activity_performance_monthly","GROUP_TYPE"
"2023-02","activity_performance_monthly","MEASURE_ID"
"2023-02","activity_performance_monthly","MEASURE_NAME"
"2023-02","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2023-02","activity_performance_monthly","ORG_CODE1"
"2023-02","activity_performance_monthly","ORG_CODE2"
"2023-02","activity_performance_monthly","ORG_NAME1"
"2023-02","activity_performance_monthly","ORG_NAME2"
"2023-02","activity_performance_monthly","REPORTING_PERIOD_END"
"2023-02","activity_performance_monthly","REPORTING_PERIOD_START"
"2023-01","activity_performance_monthly","GROUP_TYPE"
"2023-01","activity_performance_monthly","MEASURE_ID"
"2023-01","activity_performance_monthly","MEASURE_NAME"
"2023-01","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2023-01","activity_performance_monthly","ORG_CODE1"
"2023-01","activity_performance_monthly","ORG_CODE2"
"2023-01","activity_performance_monthly","ORG_NAME1"
"2023-01","activity_performance_monthly","ORG_NAME2"
"2023-01","activity_performance_monthly","REPORTING_PERIOD_END"
"2023-01","activity_performance_monthly","REPORTING_PERIOD_START"
"2022-12","activity_performance_monthly","GROUP_TYPE"
"2022-12","activity_performance_monthly","MEASURE_ID"
"2022-12","activity_performance_monthly","MEASURE_NAME"
"2022-12","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2022-12","activity_performance_monthly","ORG_CODE1"
"2022-12","activity_performance_monthly","ORG_CODE2"
"2022-12","activity_performance_monthly","ORG_NAME1"
"2022-12","activity_performance_monthly","ORG_NAME2"
"2022-12","activity_performance_monthly","REPORTING_PERIOD_END"
"2022-12","activity_performance_monthly","REPORTING_PERIOD_START"
"2022-11","activity_performance_monthly","GROUP_TYPE"
"2022-11","activity_performance_monthly","MEASURE_ID"
"2022-11","activity_performance_monthly","MEASURE_NAME"
"2022-11","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2022-11","activity_performance_monthly","ORG_CODE1"
"2022-11","activity_performance_monthly","ORG_CODE2"
"2022-11","activity_performance_monthly","ORG_NAME1"
"2022-11","activity_performance_monthly","ORG_NAME2"
"2022-11","activity_performance_monthly","REPORTING_PERIOD_END"
"2022-11","activity_performance_monthly","REPORTING_PERIOD_START"
"2022-10","activity_performance_monthly","GROUP_TYPE"
"2022-10","activity_performance_monthly","MEASURE_ID"
"2022-10","activity_performance_monthly","MEASURE_NAME"
"2022-10","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2022-10","activity_performance_monthly","ORG_CODE1"
"2022-10","activity_performance_monthly","ORG_CODE2"
"2022-10","activity_performance_monthly","ORG_NAME1"
"2022-10","activity_performance_monthly","ORG_NAME2"
"2022-10","activity_performance_monthly","REPORTING_PERIOD_END"
"2022-10","activity_performance_monthly","REPORTING_PERIOD_START"
"2022-09","activity_performance_monthly","GROUP_TYPE"
"2022-09","activity_performance_monthly","MEASURE_ID"
"2022-09","activity_performance_monthly","MEASURE_NAME"
"2022-09","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2022-09","activity_performance_monthly","ORG_CODE1"
"2022-09","activity_performance_monthly","ORG_CODE2"
"2022-09","activity_performance_monthly","ORG_NAME1"
"2022-09","activity_performance_monthly","ORG_NAME2"
"2022-09","activity_performance_monthly","REPORTING_PERIOD_END"
"2022-09","activity_performance_monthly","REPORTING_PERIOD_START"
"2022-08","activity_performance_monthly","GROUP_TYPE"
"2022-08","activity_performance_monthly","MEASURE_ID"
"2022-08","activity_performance_monthly","MEASURE_NAME"
"2022-08","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2022-08","activity_performance_monthly","ORG_CODE1"
"2022-08","activity_performance_monthly","ORG_CODE2"
"2022-08","activity_performance_monthly","ORG_NAME1"
"2022-08","activity_performance_monthly","ORG_NAME2"
"2022-08","activity_performance_monthly","REPORTING_PERIOD_END"
"2022-08","activity_performance_monthly","REPORTING_PERIOD_START"
"2022-07","activity_performance_monthly","GROUP_TYPE"
"2022-07","activity_performance_monthly","MEASURE_ID"
"2022-07","activity_performance_monthly","MEASURE_NAME"
"2022-07","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2022-07","activity_performance_monthly","ORG_CODE1"
